Year - B - M - PhD
1 - $40000 - $44000 - $50000
2 - $41000 - $45800 - $52200
3 - $42000 - $47600 - $54400
4 - $43000 - $49400 - $56600
5 - $44000 - $51200 - $58800
6 - $45000 - $53000 - $61000
7 - $46000 - $54800 - $63200
8 - $47000 - $56600 - $65400
9 - $48000 - $58400 - $67600
10 - $49000 - $60200 - $69800
11 - $50000 - $62000 - $72000
12 - $51000 - $63800 - $74200
13 - $52000 - $65600 - $76400
14 - $53000 - $67400 - $78600
15 - $54000 - $69200 - $80800
16 - $55000 - $71000 - $83000
17 - $56000 - $72800 - $85200
18 - $57000 - $74600 - $87400
19 - $58000 - $76400 - $89600
20 - $59000 - $78200 - $91800
